Rank,country,Price to income ratio,Gross Rental Yield City Centre,Gross Rental Yield Outside Of Centre,Price to Rent Ratio City Centre,Price to Rent Ratio Outside Of City Centre,Mortgage As A Precentage Of Income,Affordability Index
1,Australia,8.1,4.3,4.5,23.4,22.3,71.9,1.4
2,Brazil,15.2,4.8,4.7,21.0,21.4,188.7,0.5
3,Canada,10.2,4.0,5.1,24.7,19.4,92.1,1.1
4,China,28.5,1.6,1.9,62.5,51.8,212.9,0.5
5,France,10.3,2.9,3.4,34.1,29.4,72.5,1.4
6,Germany,8.9,3.5,3.3,28.3,29.9,64.6,1.5
7,India,10.9,2.9,3.3,34.8,30.4,117.7,0.8
8,Japan,12.2,21,2.4,47.1,42.4,72.9,1.4
9,Singapore,23.2,2.9,3.1,34.2,32.4,158.4,0.6
10,South Africa,3.2,10.3,10.7,9.7,9.3,41.6,2.4
11,UAE,7.0,6.1,7.6,16.2,13.1,53.9,1.9
12,UK,8.8,4.6,4.7,21.7,21.3,74.2,1.3
13,USA,3.3,11.7,11.4,8.6,8.8,30.1,3.3
